,date,crude_oil_prices,interest_rates,reer_exchange,consumption_expenditure,cpi,sector_sentiment,total_count,sentiment_category,vix,s&p_500_energy
0,1994-01-01,15.03,3.05,88.69,65.604,146.3,,,,10.630000114440918,105.12000274658203
1,1994-02-01,14.78,3.25,88.19,65.756,146.7,,,,14.869999885559082,101.29000091552734
2,1994-03-01,14.68,3.34,88.3,65.937,147.1,,,,20.450000762939453,96.94000244140625
3,1994-04-01,16.42,3.56,88.21,66.015,147.2,,,,13.770000457763672,101.43000030517578
4,1994-05-01,17.89,4.01,87.45,66.111,147.5,,,,13.029999732971191,101.25
5,1994-06-01,19.06,4.25,87.14,66.272,147.9,,,,14.970000267028809,98.62999725341797
6,1994-07-01,19.66,4.26,85.96,66.481,148.4,,,,11.130000114440918,103.3499984741211
7,1994-08-01,18.38,4.47,85.73,66.634,149.0,,,,11.970000267028809,102.06999969482422
8,1994-09-01,17.45,4.73,84.76,66.708,149.3,,,,14.279999732971191,99.05999755859375
9,1994-10-01,17.72,4.76,84.08,66.821,149.4,,,,14.5600004196167,107.06999969482422
10,1994-11-01,18.07,5.29,84.27,66.948,149.8,,,,15.949999809265137,101.22000122070312
11,1994-12-01,17.16,5.45,86.12,66.991,150.1,,,,13.199999809265137,100.0
12,1995-01-01,18.04,5.53,88.03,67.127,150.5,,,,11.960000038146973,101.80999755859375
13,1995-02-01,18.57,5.92,87.25,67.246,150.9,,,,11.75,104.98999786376953
14,1995-03-01,18.54,5.98,86.03,67.37,151.2,,,,13.369999885559082,110.33999633789062
15,1995-04-01,19.9,6.05,82.62,67.547,151.8,,,,11.75,113.33000183105469
16,1995-05-01,19.74,6.01,82.18,67.651,152.1,,,,12.850000381469727,116.72000122070312
17,1995-06-01,18.45,6.0,82.23,67.717,152.4,,,,11.380000114440918,112.4800033569336
18,1995-07-01,17.33,5.85,82.19,67.802,152.6,,,,13.489999771118164,116.16000366210938
19,1995-08-01,18.02,5.74,84.25,67.948,152.9,,,,11.520000457763672,111.76000213623047
20,1995-09-01,18.23,5.8,85.23,67.995,153.1,,,,12.739999771118164,113.87999725341797
21,1995-10-01,17.43,5.76,85.23,68.171,153.5,,,,13.829999923706055,114.05000305175781
22,1995-11-01,17.99,5.8,86.18,68.169,153.7,,,,11.579999923706055,118.4800033569336
23,1995-12-01,19.03,5.6,86.37,68.3,153.9,,,,12.520000457763672,125.97000122070312
24,1996-01-01,18.86,5.56,86.8,68.452,154.7,,,,12.529999732971191,125.7699966430664
25,1996-02-01,19.09,5.22,86.79,68.56,155.0,,,,17.040000915527344,125.9800033569336
26,1996-03-01,21.33,5.31,86.83,68.767,155.5,,,,18.8799991607666,131.9499969482422
27,1996-04-01,23.5,5.22,86.68,68.973,156.1,,,,15.829999923706055,135.38999938964844
28,1996-05-01,21.17,5.24,86.79,69.092,156.4,,,,16.06999969482422,135.86000061035156
29,1996-06-01,20.42,5.27,87.1,69.091,156.7,,,,13.680000305175781,137.0500030517578
30,1996-07-01,21.3,5.4,87.15,69.237,157.0,,,,19.459999084472656,131.77000427246094
31,1996-08-01,21.9,5.22,86.53,69.303,157.2,,,,17.010000228881836,133.5500030517578
32,1996-09-01,23.97,5.3,86.84,69.499,157.7,,,,16.950000762939453,138.27000427246094
33,1996-10-01,24.88,5.24,87.38,69.709,158.2,,,,18.110000610351562,146.6699981689453
34,1996-11-01,23.71,5.31,86.98,69.833,158.7,,,,17.139999389648438,152.91000366210938
35,1996-12-01,25.23,5.29,87.49,69.914,159.1,,,,20.920000076293945,153.35000610351562
36,1997-01-01,25.13,5.25,88.23,70.005,159.4,,,,19.469999313354492,160.89999389648438
37,1997-02-01,22.18,5.19,89.73,70.151,159.7,,,,21.100000381469727,153.47999572753906
38,1997-03-01,20.97,5.39,90.58,70.225,159.8,,,,22.139999389648438,161.0399932861328
39,1997-04-01,19.7,5.51,90.79,70.294,159.9,,,,20.059999465942383,162.60000610351562
40,1997-05-01,20.82,5.5,89.48,70.262,159.9,,,,19.190000534057617,173.2100067138672
41,1997-06-01,19.26,5.56,89.17,70.352,160.2,,,,21.530000686645508,179.41000366210938
42,1997-07-01,19.66,5.52,90.12,70.394,160.4,,,,21.479999542236328,191.49000549316406
43,1997-08-01,19.95,5.54,91.66,70.45,160.8,,,,24.760000228881836,185.25
44,1997-09-01,19.8,5.54,91.8,70.62,161.2,,,,22.90999984741211,197.44000244140625
45,1997-10-01,21.33,5.5,92.27,70.712,161.5,,,,35.09000015258789,192.0500030517578
46,1997-11-01,20.19,5.52,93.79,70.716,161.7,,,,27.43000030517578,188.00999450683594
47,1997-12-01,18.33,5.5,96.76,70.701,161.8,,,,24.010000228881836,187.10000610351562
48,1998-01-01,16.72,5.56,99.16,70.736,162.0,,,,21.469999313354492,176.8800048828125
49,1998-02-01,16.06,5.51,97.66,70.699,162.0,,,,18.549999237060547,188.47999572753906
50,1998-03-01,15.12,5.49,97.25,70.71,162.0,,,,24.219999313354492,196.38999938964844
51,1998-04-01,15.35,5.45,97.07,70.798,162.2,,,,21.18000030517578,203.22999572753906
52,1998-05-01,14.91,5.49,97.78,70.895,162.6,,,,21.31999969482422,195.63999938964844
53,1998-06-01,13.72,5.56,99.92,70.835,162.8,,,,19.709999084472656,193.1300048828125
54,1998-07-01,14.17,5.54,100.36,71.01,163.2,,,,24.799999237060547,181.9199981689453
55,1998-08-01,13.47,5.55,102.11,71.108,163.4,,,,44.279998779296875,160.75
56,1998-09-01,15.03,5.51,100.37,71.067,163.5,,,,40.95000076293945,182.77000427246094
57,1998-10-01,14.46,5.07,97.38,71.223,163.9,,,,28.049999237060547,184.9199981689453
58,1998-11-01,13.0,4.83,97.07,71.226,164.1,,,,26.010000228881836,185.4499969482422
59,1998-12-01,11.35,4.68,96.16,71.298,164.4,,,,24.420000076293945,183.44000244140625
60,1999-01-01,12.52,4.63,96.21,71.398,164.7,,,,26.25,170.05999755859375
61,1999-02-01,12.01,4.76,97.24,71.358,164.7,,,,27.8799991607666,168.3300018310547
62,1999-03-01,14.68,4.81,98.44,71.412,164.8,,,,23.260000228881836,192.88999938964844
63,1999-04-01,17.31,4.74,98.13,71.757,165.9,,,,25.06999969482422,220.8800048828125
64,1999-05-01,17.72,4.74,97.88,71.804,166.0,,,,25.389999389648438,214.25999450683594
65,1999-06-01,17.92,4.76,98.44,71.826,166.0,,,,21.09000015258789,216.10000610351562
66,1999-07-01,20.1,4.99,98.76,72.017,166.7,,,,24.639999389648438,218.75999450683594
67,1999-08-01,21.28,5.07,97.64,72.148,167.1,,,,24.450000762939453,221.32000732421875
68,1999-09-01,23.8,5.22,97.0,72.407,167.8,,,,25.40999984741211,212.3300018310547
69,1999-10-01,22.69,5.2,96.6,72.529,168.1,,,,22.200000762939453,209.22999572753906
70,1999-11-01,25.0,5.42,96.81,72.594,168.4,,,,24.18000030517578,212.2100067138672
71,1999-12-01,26.1,5.3,96.71,72.763,168.8,,,,24.639999389648438,212.72000122070312
72,2000-01-01,27.26,5.45,96.53,72.961,169.3,,,,24.950000762939453,209.22000122070312
73,2000-02-01,29.37,5.73,97.92,73.191,170.0,,,,23.3700008392334,196.10000610351562
74,2000-03-01,29.84,5.85,98.52,73.505,171.0,,,,24.110000610351562,216.6199951171875
75,2000-04-01,25.72,6.02,98.98,73.444,170.9,,,,26.200000762939453,214.80999755859375
76,2000-05-01,28.79,6.27,101.32,73.505,171.2,,,,23.649999618530273,234.16000366210938
